Questions,Unnamed: 1,Unnamed: 2,Unnamed: 3,duplicate,tags
Can you explain the principle of Object-Oriented Programming and its four main concepts?,,OOP;HighLevel,Easy,False,"['main concepts', 'object oriented', 'oriented programming', 'object-oriented programming', 'four']"
Can you explain the concept of Object-Oriented Programming (OOP) and provide examples of its four main principles?,,,,True,"['object oriented', 'oriented programming', 'programming oop', 'object-oriented programming', 'four']"
Write a Java program to reverse a string without using the built-in reverse function.,,,,False,"['reverse function', 'reverse string', 'java', 'program reverse']"
What is exception handling in Java? Can you provide an example of a try-catch block?,,,,False,"['java', 'exception handling', 'catch block', 'exception']"
Explain the significance of the 'final' keyword in Java. How is it used in different contexts?,,,,False,"['keyword java', 'final keyword', 'java', 'significance final']"
What is the difference between a List and a Set in Java? Provide examples of when to use each.,,,,False,"['list', 'java', 'list set', 'set java']"
Describe the concept of inheritance in Java and how does it differ from composition.,,,,False,"['inheritance', 'inheritance java', 'concept inheritance', 'java']"
What are lambda expressions in Java and how do they simplify the development of functional programming?,,,,False,"['java', 'functional programming', 'expressions java', 'lambda expressions']"
Can you explain how garbage collection works in Java and why it is important?,,,,True,"['garbage collection', 'java', 'java important', 'explain garbage']"
Write a Java program to implement a simple stack using an array.,,,,False,"['stack', 'java', 'simple stack', 'stack using']"
Can you explain the principles of Object-Oriented Programming and how they apply in Java?,,,,False,"['object oriented', 'oriented programming', 'java', 'object-oriented programming']"
What are the main differences between a Class and an Interface in Java?,,,,True,"['interface java', 'java', 'interface', 'class interface']"
How does Java achieve platform independence?,,,,True,"['java', 'does java', 'platform independence']"
"What are Java Collections? Can you explain the difference between List, Set, and Map?",,,,False,"['map', 'collections explain', 'collections', 'java collections']"
Write a Java program to reverse a string without using built-in functions.,,,,False,"['reverse', 'java', 'reverse string', 'program reverse']"
What is Exception Handling in Java? Can you provide an example?,,,,False,"['java', 'exception handling', 'handling java', 'exception']"
Explain the concept of Multithreading in Java and how is it achieved?,,,,True,"['multithreading java', 'java', 'multithreading', 'concept multithreading']"
Discuss the importance and use of the 'final' keyword in Java.,,,,False,"['keyword java', 'final keyword', 'java', 'use final']"
What are lambda expressions in Java? Can you provide an example of their usage?,,,,False,"['lambda', 'java', 'expressions java', 'lambda expressions']"
"Can you explain the Java Memory Model, including Heap and Stack memory?",,,,False,"['heap and stack', 'java memory', 'heap stack', 'stack memory']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
"Describe the concept of object-oriented programming (OOP). What are the four main principles of OOP, and can you provide a simple example?",,,,True,"['object oriented', 'programming oop', 'principles oop', 'four', 'oop']"
What is a data structure?  Name three common data structures and briefly describe when you might use each one.,,,,True,"['three', 'data structures', 'data structure', 'common data']"
"What is a relational database? What are tables, rows, and columns in a relational database?",,,,True,"['database tables', 'database', 'relational database']"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,,,,True,"['sql', 'left join', 'join sql', 'inner join']"
"What is Git, and why is it important in software development?",,,,True,"['git', 'software development', 'git important']"
"Describe the common Git commands you've used (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`, `git branch`).",,,,True,"['commit git', 'git', 'git commands', 'git commit']"
Explain the concept of branching in Git and why it's useful.,,,,True,"['git', 'branching', 'branching git', 'git useful']"
"Walk me through one of your academic projects. Describe the problem you were solving, your approach, the technologies you used, and any challenges you encountered.",,,,True,"['approach technologies', 'projects', 'academic projects']"
Explain the difference between compilation and interpretation in the context of programming languages.  Can you give an example of a compiled language and an interpreted language?,,,,True,"['compilation interpretation', 'compiled language', 'interpreted language']"
What is the difference between a stack and a queue data structure?  When would you choose one over the other?,,,,True,"['queue data', 'difference stack', 'stack queue', 'one']"
"In Python, explain the difference between a list and a tuple.  When would you use each?",,,,True,"['tuple use', 'python explain', 'list tuple']"
Write a simple SQL query to retrieve all rows from a table named 'Customers' where the 'Country' column is 'USA'.,,,,True,"['sql query', 'usa', 'customers country', 'sql', 'country column']"
