Questions,Duplicate,Tags,Difficulty Level,duplicate,tags,difficulty_score,difficulty_level
Can you explain the principle of Object-Oriented Programming and its four main concepts?,,OOP;HighLevel,Easy,False,"object-oriented programming,four,oriented programming,object oriented,main concepts",3.5,Medium
Can you explain the concept of Object-Oriented Programming (OOP) and provide examples of its four main principles?,,,,True,"object-oriented programming,four,oriented programming,object oriented,programming oop",3.8,Medium
Write a Java program to reverse a string without using the built-in reverse function.,,,,False,"program reverse,reverse string,reverse function,java",2.5,Easy
What is exception handling in Java? Can you provide an example of a try-catch block?,,,,False,"catch block,exception,exception handling,java",2.7,Easy
Explain the significance of the 'final' keyword in Java. How is it used in different contexts?,,,,False,"significance final,final keyword,keyword java,java",2.5,Easy
What is the difference between a List and a Set in Java? Provide examples of when to use each.,,,,False,"list set,list,set java,java",2.0,Easy
Describe the concept of inheritance in Java and how does it differ from composition.,,,,False,"inheritance java,concept inheritance,inheritance,java",3.3,Medium
What are lambda expressions in Java and how do they simplify the development of functional programming?,,,,False,"functional programming,java,lambda expressions,expressions java",3.6,Medium
Can you explain how garbage collection works in Java and why it is important?,,,,True,"garbage collection,explain garbage,java important,java",2.0,Easy
Write a Java program to implement a simple stack using an array.,,,,False,"stack using,java,stack,simple stack",3.0,Easy
Can you explain the principles of Object-Oriented Programming and how they apply in Java?,,,,False,"oriented programming,object-oriented programming,object oriented,java",3.8,Medium
What are the main differences between a Class and an Interface in Java?,,,,True,"interface,interface java,class interface,java",2.6,Easy
How does Java achieve platform independence?,,,,True,"does java,java,platform independence",3.9,Medium
"What are Java Collections? Can you explain the difference between List, Set, and Map?",,,,False,"collections,java collections,map,collections explain",2.6,Easy
Write a Java program to reverse a string without using built-in functions.,,,,False,"program reverse,reverse string,reverse,java",2.5,Easy
What is Exception Handling in Java? Can you provide an example?,,,,False,"exception,java,exception handling,handling java",2.7,Easy
Explain the concept of Multithreading in Java and how is it achieved?,,,,True,"java,multithreading java,multithreading,concept multithreading",2.4,Easy
Discuss the importance and use of the 'final' keyword in Java.,,,,False,"final keyword,use final,keyword java,java",2.5,Easy
What are lambda expressions in Java? Can you provide an example of their usage?,,,,False,"lambda,java,lambda expressions,expressions java",2.6,Easy
"Can you explain the Java Memory Model, including Heap and Stack memory?",,,,False,"heap stack,java memory,stack memory,heap and stack",4.2,Medium
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",3.0,Easy
"Describe the concept of object-oriented programming (OOP). What are the four main principles of OOP, and can you provide a simple example?",,,,True,"principles oop,four,oop,object oriented,programming oop",3.2,Medium
What is a data structure?  Name three common data structures and briefly describe when you might use each one.,,,,True,"three,data structures,common data,data structure",1.8,Easy
"What is a relational database? What are tables, rows, and columns in a relational database?",,,,True,"database tables,database,relational database",3.0,Medium
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,,,,True,"sql,inner join,left join,join sql",2.9,Easy
"What is Git, and why is it important in software development?",,,,True,"git,git important,software development",2.3,Easy
"Describe the common Git commands you've used (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`, `git branch`).",,,,True,"git,git commands,commit git,git commit",2.0,Easy
Explain the concept of branching in Git and why it's useful.,,,,True,"branching,git useful,branching git,git",1.6,Easy
"Walk me through one of your academic projects. Describe the problem you were solving, your approach, the technologies you used, and any challenges you encountered.",,,,True,"academic projects,projects,approach technologies",2.0,Easy
Explain the difference between compilation and interpretation in the context of programming languages.  Can you give an example of a compiled language and an interpreted language?,,,,True,"compiled language,compilation interpretation,interpreted language",4.3,Medium
What is the difference between a stack and a queue data structure?  When would you choose one over the other?,,,,True,"queue data,stack queue,difference stack,one",1.6,Easy
"In Python, explain the difference between a list and a tuple.  When would you use each?",,,,True,"list tuple,python explain,tuple use",1.4,Easy
Write a simple SQL query to retrieve all rows from a table named 'Customers' where the 'Country' column is 'USA'.,,,,True,"customers country,usa,country column,sql,sql query",2.3,Easy
"Can you describe one of your academic projects?  Focus on your role, the technologies used, and any challenges you faced and how you overcame them.  What did you learn from this project?",,,,True,"learn project,academic projects,projects",1.5,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",2.6,Easy
What are the different data types you are familiar with in your preferred programming language? Give examples of each.,,,,True,"data,programming language,data types",2.7,Easy
"Describe the concept of an algorithm and provide a simple example of an algorithm you can implement (e.g., finding the largest number in a list).",,,,True,"algorithm implement,example algorithm,algorithm",2.8,Easy
What is a relational database?  What are some examples of relational database management systems (RDBMS)?,,,,True,"database examples,database management,relational database",3.9,Medium
Write a simple SQL query to retrieve all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` in SQL.",,,,True,"update delete,select insert,delete sql,sql",2.6,Easy
What is Git and why is it important in software development?,,,,True,"git,git important,software development",2.4,Easy
"Describe the common Git commands you use for adding, committing, and pushing changes to a remote repository.",,,,False,"git,git commands,common git",2.8,Easy
"What is a Git branch, and why are branches useful in collaborative software development?",,,,True,"git,branch branches,git branch,branches useful",3.5,Medium
Can you explain the key features of Core Java?,,,,False,"core java,java,features core",1.8,Easy
"Can you walk me through one of your academic projects?  Explain the problem you were solving, your approach, the technologies you used, and any challenges you encountered.",,,,True,"academic projects,projects,one,projects explain",2.0,Easy
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"compilation interpretation,compiled language,interpreted language",4.7,Medium
Describe the concept of an array and a linked list. What are the advantages and disadvantages of each?,,,,True,"array linked,list advantages,linked list",2.0,Easy
Explain the difference between lists and tuples in Python. When would you choose one over the other?,,,,True,"lists tuples,one,tuples python,tuples,python",1.9,Easy
Write a simple SQL query to retrieve all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,,,,True,"students gpa,3.5,gpa,gpa greater,sql",1.8,Easy
"Can you describe one of your academic projects?  Focus on your role, the technologies used, any challenges you faced, and what you learned from the experience.  If you used version control (like Git), explain how you used it.",,,,False,"version control,like git,academic projects,git",1.8,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",3.0,Easy
"Describe the concept of a stack and a queue, and give real-world examples of where you might see them used.",,,,True,"stack queue,stack,queue",2.0,Easy
What is the difference between an array and a linked list?  What are the advantages and disadvantages of each?,,,,True,"array linked,list advantages,linked list",2.3,Easy
What is a relational database?  Give an example of a relational database management system (RDBMS).,,,,True,"database management,database example,relational database",3.9,Medium
Write a simple SQL query to select all rows from a table named `users` where the `age` is greater than 25.,,,,True,"sql,simple sql,sql query,users age",1.4,Easy
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL statements.",,,,True,"update delete,sql statements,delete sql,sql",3.1,Medium
"What is Git, and why is it important for software development?",,,,True,"git,git important,software development",2.3,Easy
"Describe the common Git commands you use for branching, merging, and committing changes.  (e.g., `git branch`, `git merge`, `git commit`, `git push`, `git pull`) ",,,,False,"git,git commands,branch git,commit git",1.9,Easy
"What is a Git repository, and how do you create one?",,,,False,"git,git repository,repository create",1.6,Easy
"Walk me through your most challenging academic project.  Explain your role, the technologies used, any problems you encountered, and how you solved them.",,,,True,"challenging academic,technologies,academic project",1.8,Easy
Explain the difference between an `if` statement and a `switch` statement.  When would you prefer one over the other?,,,,True,"statement switch,one,switch,switch statement",1.7,Easy
What is the difference between a compiler and an interpreter? Give an example of a language using each.,,,,False,"compiler interpreter,interpreter example,interpreter",2.7,Easy
"Describe what a data structure is and give examples of at least three common data structures (e.g., array, linked list).  Mention a scenario where each would be preferred.",,,,False,"data structures,at least three,structure examples,data structure",2.1,Easy
What is a relational database? What is a SQL query and what is its purpose?,,,,True,"database sql,sql,database,relational database",1.5,Easy
Write a simple SQL query to retrieve all rows from a table named 'Users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",,,,True,"update delete,delete sql,sql,sql commands",2.8,Easy
What is Git and why is it important for software development?,,,,True,"git,git important,software development",2.4,Easy
"Explain the difference between `git add`, `git commit`, and `git push`.",,,,True,"git push,commit git,git commit",2.6,Easy
Describe a scenario where you would use `git branch` and `git merge`.,,,,False,"git merge,branch git,git branch",1.4,Easy
"Can you walk me through one of your academic projects?  Explain the problem you were solving, your approach, the technologies you used, and any challenges you faced.",,,,True,"academic projects,projects,one,projects explain",1.6,Easy
What are the main features of Java?,,,,True,"features java,main features,java",1.5,Easy
Explain the concept of Object-Oriented Programming and how Java implements it.,,,,True,"object-oriented programming,programming java,object oriented,java",4.6,Medium
Can you explain the difference between '== Operator' and '.equals()' method in Java?,,,,True,"operator equals,equals,java,equals method",2.7,Easy
What is a Java Virtual Machine (JVM) and how does it work?,,,,False,"jvm,java virtual,machine jvm",1.8,Easy
Write a Java function to reverse a string.,,,,True,"reverse string,java,java function,function reverse",2.2,Easy
Describe the concepts of inheritance and polymorphism in Java with examples.,,,,False,"inheritance polymorphism,java,java examples,polymorphism java",4.4,Medium
What are exceptions in Java? How do you handle exceptions?,,,,True,"exceptions java,exceptions,handle exceptions,java",2.5,Easy
Explain the difference between ArrayList and LinkedList in Java.,,,,True,"linkedlist,java,arraylist linkedlist,arraylist,linkedlist java",3.6,Medium
What is a Java Stream and how can it be used to process collections?,,,,False,"process collections,java stream,stream used",1.3,Easy
Can you explain what multithreading is in Java and provide an example?,,,,False,"explain multithreading,multithreading java,multithreading,java",2.7,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",2.6,Easy
Describe the concept of an array and a linked list. What are the advantages and disadvantages of each?,,,,True,"array linked,list advantages,linked list",2.0,Easy
What is the difference between compilation and interpretation in the context of programming languages?,,,,False,"difference compilation,compilation interpretation,interpretation context",4.9,Medium
What is a relational database?  Give an example of a relational database management system (RDBMS).,,,,True,"database management,database example,relational database",3.9,Medium
Write a SQL query to select all students from a `students` table who have a GPA greater than 3.5.,,,,False,"3.5,gpa,students table,table gpa,sql",1.8,Easy
Explain the concept of normalization in databases. Why is it important?,,,,True,"normalization,normalization databases,concept normalization",2.8,Easy
"What is Git, and why is it important in software development?",,,,True,"git,git important,software development",2.3,Easy
How does Java achieve platform independence?,,,,True,"does java,java,platform independence",3.9,Medium
