Questions,duplicate,tags
Can you explain the principle of Object-Oriented Programming and its four main concepts?,FALSE,"object-oriented programming,four,object oriented,main concepts,oriented programming"
Can you explain the concept of Object-Oriented Programming (OOP) and provide examples of its four main principles?,TRUE,"object-oriented programming,four,programming oop,object oriented,oriented programming"
Write a Java program to reverse a string without using the built-in reverse function.,FALSE,"reverse string,reverse function,java,program reverse"
What is exception handling in Java? Can you provide an example of a try-catch block?,FALSE,"catch block,java,exception,exception handling"
Explain the significance of the 'final' keyword in Java. How is it used in different contexts?,FALSE,"keyword java,significance final,final keyword,java"
What is the difference between a List and a Set in Java? Provide examples of when to use each.,FALSE,"list,set java,list set,java"
Describe the concept of inheritance in Java and how does it differ from composition.,FALSE,"concept inheritance,java,inheritance,inheritance java"
What are lambda expressions in Java and how do they simplify the development of functional programming?,FALSE,"lambda expressions,functional programming,java,expressions java"
Can you explain how garbage collection works in Java and why it is important?,TRUE,"explain garbage,garbage collection,java,java important"
Write a Java program to implement a simple stack using an array.,FALSE,"stack,simple stack,java,stack using"
Can you explain the principles of Object-Oriented Programming and how they apply in Java?,FALSE,"object oriented,java,object-oriented programming,oriented programming"
What are the main differences between a Class and an Interface in Java?,TRUE,"interface,class interface,java,interface java"
How does Java achieve platform independence?,TRUE,"does java,java,platform independence"
"What are Java Collections? Can you explain the difference between List, Set, and Map?",FALSE,"java collections,collections explain,map,collections"
Write a Java program to reverse a string without using built-in functions.,FALSE,"reverse string,java,program reverse,reverse"
What is Exception Handling in Java? Can you provide an example?,FALSE,"handling java,java,exception,exception handling"
Explain the concept of Multithreading in Java and how is it achieved?,TRUE,"concept multithreading,java,multithreading,multithreading java"
Discuss the importance and use of the 'final' keyword in Java.,FALSE,"keyword java,java,final keyword,use final"
What are lambda expressions in Java? Can you provide an example of their usage?,FALSE,"lambda expressions,lambda,java,expressions java"
"Can you explain the Java Memory Model, including Heap and Stack memory?",FALSE,"stack memory,java memory,heap stack,heap and stack"
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
"Describe the concept of object-oriented programming (OOP). What are the four main principles of OOP, and can you provide a simple example?",TRUE,"four,programming oop,object oriented,oop,principles oop"
